"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,29.00,867100.00,3190.00,2562.00,14.00,0.00,692.00,3798.00,3081.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"608",1,2016,1,2,2,"F",
0.00,1.00,52160.00,180.00,0.00,1010.00,0.00,87.00,62.00,38.00,"Delta Air Lines Inc.","DL","ABE","JFK",6,"622",1,2016,1,2,1,"F",
0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,"Delta Air Lines Inc.","DL","AEX","ATL",6,"626",1,2016,1,2,2,"L",
0.00,11.00,328900.00,1210.00,1132.00,0.00,0.00,143.00,633.00,364.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"608",1,2016,1,2,1,"F",
0.00,40.00,1196000.00,4398.00,3427.00,1320.00,0.00,853.00,6217.00,5302.00,"Delta Air Lines Inc.","DL","ALB","ATL",6,"608",1,2016,1,2,2,"F",
0.00,1.00,32870.00,149.00,97.00,99.00,0.00,895.00,239.00,196.00,"Delta Air Lines Inc.","DL","ALB","HSV",6,"655",1,2016,1,2,2,"F",
0.00,2.00,59800.00,220.00,41.00,0.00,1319.00,146.00,174.00,88.00,"Delta Air Lines Inc.","DL","ALB","JFK",6,"608",1,2016,1,2,1,"F",
0.00,4.00,131480.00,596.00,438.00,102.00,0.00,136.00,383.00,182.00,"Delta Air Lines Inc.","DL","ALB","LGA",6,"655",1,2016,1,2,1,"F",
0.00,1.00,38170.00,160.00,41.00,566.00,0.00,136.00,81.00,62.00,"Delta Air Lines Inc.","DL","ALB","LGA",6,"656",1,2016,1,2,1,"F",
0.00,1.00,49090.00,180.00,154.00,0.00,0.00,136.00,161.00,87.00,"Delta Air Lines Inc.","DL","ALB","LGA",8,"888",1,2016,1,2,1,"F",
